IL NAME,CATION NAME,ANION NAME,Cation_SMILES,Anion_SMILES,Temperature (0 C),Pressure (bar),CO2 capacity (mol CO2/mol IL)
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,50,4.93,0.080613789
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,65.1,4.94,0.065189604
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,80.1,4.94,0.052964094
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,25,5.93,0.150615579
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,35,5.93,0.124353497
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,50,5.93,0.097092704
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,65.1,5.93,0.078050884
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,80.1,5.94,0.063942973
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,65.1,6.92,0.091464746
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,25,6.93,0.179106237
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,35,6.93,0.145344176
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,50,6.93,0.113957892
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,80.1,6.93,0.074229241
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,25,7.93,0.204964454
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,35,7.93,0.16808784
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,50,7.93,0.130454443
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,65.1,7.94,0.104606208
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,80.1,7.94,0.085540599
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,65.1,8.92,0.117568172
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,25,8.93,0.232741617
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,35,8.93,0.189909567
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,50,8.93,0.147446931
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,80.1,8.94,0.09733348
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,35,9.92,0.211680601
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,50,9.92,0.163873371
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,25,9.93,0.260239445
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,65.1,9.93,0.131733816
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,80.1,9.93,0.108278843
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,25,10.93,0.288493751
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,35,10.93,0.235483074
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,50,10.93,0.181055864
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,65.1,10.93,0.145475372
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,80.1,10.93,0.118943717
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,25,11.92,0.317349493
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,35,11.93,0.25849484
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,50,11.93,0.198322349
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,65.1,11.93,0.158614297
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,80.1,11.93,0.130198915
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,25,12.92,0.344989913
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,50,12.92,0.216545012
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,65.1,12.92,0.172470395
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,35,12.93,0.281558375
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,80.1,12.93,0.141291942
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,25,13.92,0.373815084
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,35,13.92,0.304631442
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,65.1,13.92,0.18623962
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,80.1,13.92,0.152604887
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,50,13.93,0.234110823
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,35,14.92,0.328197636
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,25,14.93,0.403311816
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,50,14.93,0.251251251
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,65.1,14.93,0.200048002
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,80.1,14.93,0.163737926
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,25,15.93,0.433691756
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,35,15.93,0.351351351
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,50,15.93,0.268874508
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,65.1,15.93,0.21344497
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,80.1,15.93,0.174674028
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,25,16.92,0.464343242
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,50,16.92,0.286670098
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,65.1,16.92,0.227596366
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,35,16.93,0.374381528
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,80.1,16.93,0.185395922
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,25,17.93,0.493205913
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,35,17.93,0.398797035
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,50,17.93,0.305142261
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,65.1,17.93,0.241464929
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,80.1,17.93,0.197891711
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,25,18.92,0.524855139
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,35,18.92,0.422879909
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,50,18.92,0.32310135
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,65.1,18.92,0.255492781
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,80.1,18.93,0.208459215
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,25,19.92,0.554484688
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,80.1,19.92,0.220107369
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,35,19.93,0.447387466
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,50,19.93,0.341561578
[OMIM][TCM], 1-methyl-3-octylimidazolium,tricyanomethanide,CCCCCCCC[n+]1ccn(C)c1,C([C-](C#N)C#N)#N,65.1,19.93,0.269518852
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,10,0.0037,0.002104419
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,10,0.0072,0.001001001
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,10,0.0486,0.001502253
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,10,0.0955,0.005025126
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,10,0.197,0.004217714
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,10,0.499,0.012760786
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,10,0.597,0.011633789
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,10,0.999,0.019887812
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,10,1.5,0.037021674
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,10,2,0.039284972
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,10,2.5,0.059434262
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,10,3,0.060220526
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,10,3.5,0.081197967
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,10,4,0.082133968
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,10,4.5,0.102414287
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,10,5,0.104240283
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,10,5.5,0.123595506
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,10,6,0.126126126
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,10,6.5,0.14416476
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,10,7,0.148105626
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,10,7.5,0.165501166
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,10,8,0.169590643
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,10,8.5,0.18623962
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,10,9,0.191895113
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,10,9.5,0.207729469
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,10,10,0.212121212
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,10,10.5,0.226993865
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,10,11,0.233045623
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,10,11.5,0.248439451
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,10,12,0.254705144
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,10,12.5,0.267427123
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,10,13,0.275510204
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,25,0.0035,0.000660436
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,25,0.0105,0.001201442
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,25,0.0481,0.001903617
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,25,0.0965,0.002405774
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,25,0.197,0.004116879
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,25,0.499,0.008776354
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,25,0.598,0.010203051
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,25,0.999,0.016466762
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,25,1.5,0.025325541
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,25,2,0.031778787
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,25,2.5,0.040907671
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,25,3,0.047449461
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,25,3.5,0.056412423
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,25,4,0.06292517
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,25,4.5,0.071811361
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,25,5,0.078632294
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,25,5.5,0.086956522
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,25,6,0.093852549
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,25,6.5,0.102171277
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,25,7,0.109139308
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,25,7.5,0.11719361
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,25,8,0.124353497
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,25,8.5,0.131990038
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,25,9,0.139341461
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,25,9.5,0.146920518
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,25,10,0.154334526
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,25,10.5,0.161575096
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,25,11,0.169317119
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,25,11.5,0.176332196
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,25,12,0.183151917
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,25,12.5,0.190901512
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,25,13,0.19760479
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,50,0.0003,6.30E-06
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,50,0.0486,0.000190036
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,50,0.0957,3.20E-05
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,50,0.197,0.001803246
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,50,0.499,0.00431857
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,50,0.598,0.005833836
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,50,0.999,0.01010101
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,50,1.5,0.013993105
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,50,2,0.020929045
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,50,2.5,0.026377912
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,50,3,0.030821565
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,50,3.5,0.035625518
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,50,4,0.041124414
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,50,4.5,0.045150502
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,50,5,0.050861707
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,50,5.5,0.05507491
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,50,6,0.060557853
[BDMIM][BF4],"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCC[n+]1c(C)n(C)cc1,F[B-](F)(F)F,50,6.5,0.064735945
