IL NAME,CATION NAME,ANION NAME,Cation_SMILES,Anion_SMILES,Temperature (0 C),Pressure (bar),CO2 capacity (mol CO2/mol IL)
[TETAH][Lys],triethylenetetrammonium,lysinate,NCCNCCNCC[NH3+],C(CCN)C[C@@H](C(=O)[O-])N,40,1,2.59
[DETAH][Lys],diethylenetriammonium,lysinate,NCCNCC[NH3+],C(CCN)C[C@@H](C(=O)[O-])N,40,1,2.13
[P66614][PhO],trihexyl(tetradecyl)phosphonium,phenolate,CCCCCC[P+](CCCCCC)(CCCCCC)CCCCCCCCCCCCCC,C1=CC=C([O-])C=C1,30,1,0.85
[P66614][4-Me-PhO],trihexyl(tetradecyl)phosphonium,p-methylphenolate,CCCCCC[P+](CCCCCC)(CCCCCC)CCCCCCCCCCCCCC,C1(C)=CC=C([O-])C=C1,30,1,0.91
[P66614][4-Cl-PhO],trihexyl(tetradecyl)phosphonium,p-chlorophenolate,CCCCCC[P+](CCCCCC)(CCCCCC)CCCCCCCCCCCCCC,C1(Cl)=CC=C([O-])C=C1,30,1,0.82
[P66614][4-CF3-PhO],trihexyl(tetradecyl)phosphonium,p-trifluoromethylphenolate,CCCCCC[P+](CCCCCC)(CCCCCC)CCCCCCCCCCCCCC,C1(C(F)(F)F)=CC=C([O-])C=C1,30,1,0.61
[P66614][4-NO2-PhO],trihexyl(tetradecyl)phosphonium,p-nitrophenolate,CCCCCC[P+](CCCCCC)(CCCCCC)CCCCCCCCCCCCCC,C1([N+]([O-])=O)=CC=C([O-])C=C1,30,1,0.3
[DMAPAH][4F-PhO],"N, N-dimethyl-1,3-propane diamine",p-fluorophenolate,CN(C)CCC[NH3+],C1(F)=CC=C([O-])C=C1,30,1,0.86
[P66614][CIN],trihexyl(tetradecyl)phosphonium,cinnamate,CCCCCC[P+](CCCCCC)(CCCCCC)CCCCCCCCCCCCCC,C1=CC=C(C=C1)/C=C/C(=O)[O-],20,1,0.67
[P66614][2-OMeCIN],trihexyl(tetradecyl)phosphonium,2-methoxyl cinnamate,CCCCCC[P+](CCCCCC)(CCCCCC)CCCCCCCCCCCCCC,C1=CC=C(C(OC)=C1)/C=C/C(=O)[O-],20,1,0.73
[P66614][4-CF3CIN],trihexyl(tetradecyl)phosphonium,4-trifluoromethyl cinnamate,CCCCCC[P+](CCCCCC)(CCCCCC)CCCCCCCCCCCCCC,C1(C(F)(F)F)=CC=C(C=C1)/C=C/C(=O)[O-],20,1,0.47
[MTBDH][TFE],"methyl-1,5,7-triazabicyclo[4.4.]dec-5-ene",trifluoroethyl,C[NH+]1CCNC2=NCCCN12,F[C](F)CF,23,1,1.13
[MTBDH][Im],"methyl-1,5,7-triazabicyclo[4.4.]dec-5-ene",Imidazolate,C[NH+]1CCNC2=NCCCN12,C1=CN=C[N-]1,23,1,1.03
[P2228][2CNpyr],triethyl(octyl)phosphonium,2-cyanopyrrol-1-ide,CCCCCCCC[P+](CC)(CC)CC,[n-]1c(C#N)ccc1,23,1,0.94
[P2228][3CF3pyr],triethyl(octyl)phosphonium,3-(trifluoromethyl)pyrazol-1-ide,CCCCCCCC[P+](CC)(CC)CC,[n-]1nc(cc1)C(F)(F)F,23,1,0.95
[P2228][3CH35CF3pyr],triethyl(octyl)phosphonium,3-methyl-5-(trifluoromethyl)pyrazol-1-ide,CCCCCCCC[P+](CC)(CC)CC,[n-]1nc(C)cc1C(F)(F)F,23,1,0.81
[P2228][4NO2pyr],triethyl(octyl)phosphonium,4-nitropyrazol-1-ide,CCCCCCCC[P+](CC)(CC)CC,[n-]1ncc([N+](=O)[O-])c1,23,1,0.094
[DETA][For],Diethyelenetriammonium ,Formate,NCCNCC[NH3+],[O-]C=O,25,1,0.2695
[DETA][But],Diethyelenetriammonium ,Butanoate,NCCNCC[NH3+],CCCC([O-])=O,25,1,0.0149
[DETA][ Hex] ,Diethyelenetriammonium ,Hexanoate,NCCNCC[NH3+],CCCCCC([O-])=O,25,1,0.164
[DETA][Oct],Diethyelenetriammonium ,Octanoate,NCCNCC[NH3+],CCCCCCCC([O-])=O,25,1,0.494
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.95,0.0001,6.60E-06
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.95,0.0317,0.001803246
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.95,0.499,0.011736139
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.95,0.499,0.014095933
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.95,0.999,0.027432446
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.95,1,0.02501025
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.95,1.5,0.038529442
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.95,1.5,0.040907671
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.95,2,0.052188552
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.95,2,0.053962901
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.95,2.5,0.065870816
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.95,2.5,0.067349771
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.95,3,0.079563856
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.95,3,0.080730574
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.95,3.5,0.09301563
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.95,3.5,0.094091904
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.95,4,0.106439478
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.95,4,0.107542363
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.95,4.5,0.119820829
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.95,4.5,0.121076233
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.95,4.99,0.133786848
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.95,5,0.133786848
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.95,5.5,0.146788991
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.95,5.5,0.148105626
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.95,6,0.161440186
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.95,6.5,0.17370892
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.95,6.5,0.175088132
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.95,7,0.187648456
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.95,7,0.189060642
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.95,7.5,0.201923077
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.95,7.99,0.215066829
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.95,8,0.216545012
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.95,8.49,0.228501229
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.95,8.5,0.2300123
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.95,9,0.243781095
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.95,9.49,0.257861635
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.95,9.5,0.257861635
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.95,10,0.27064803
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.95,10,0.272264631
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.95,10.5,0.283697047
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.95,10.5,0.285347044
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.95,11,0.298701299
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.95,11.5,0.312335958
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.95,12,0.326259947
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.95,12.5,0.340482574
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.95,13,0.35501355
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,25,0.0003,6.40E-06
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,25,0.0333,0.00070049
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,25,0.503,0.007658202
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,25,0.505,0.009896991
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,25,1,0.017087063
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,25,1.01,0.019264091
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,25,1.5,0.027221366
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,25,1.51,0.028806584
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,25,2,0.036806636
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,25,2.01,0.038313778
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,25,2.5,0.046682018
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,25,2.51,0.047998323
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,25,3,0.056412423
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,25,3.01,0.05764146
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,25,3.5,0.065984437
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,25,3.51,0.067008109
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,25,4,0.07561579
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,25,4.01,0.076542147
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,25,4.5,0.086248099
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,25,4.51,0.086248099
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,25,5,0.096250822
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,25,5.01,0.095770327
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,25,5.5,0.105950011
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,25,5.51,0.105094486
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,25,6,0.114827202
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,25,6.01,0.114827202
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,25,6.5,0.123595506
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,25,6.51,0.123595506
