Ionic Liquid
1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate
1-hexyl-3-methylimidazolium tris(heptafluoropropyl)trifluorophosphate
1-pentyl-3-methylimidazolium tris(nonafluorobutyl)trifluorophosphate
"1-methyl-3-(3,3,4,4,5,5,6,6,6-nonafluorohexyl)-1H-imidazolium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
"1-methyl-3-(3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl)imidazolium bis(trifluoromethylsulfonyl)imide"
 1-methyl-3-octylimidazolium tetrafluoroborate
1-ethyl-3-methylimidazolium ethyl sulfate 
"N,N-diethyl-2-methoxy-N-methylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide"
1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide
 triethylsulfonium bis((trifluoromethyl)sulfonyl)imide
1-allyl-3-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide
1-butyl-4-methylpyridinium tetrafluoroborate
ethylammonium nitrate
"N-ethyl-N,N-dimethyl-1-propanaminium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
"1,2,3-tris(diethylamino)-cyclopropenylium bis(trifluoromethylsulfonyl)imide"
3-methyl-1-propylpyridinium bis(trifluoromethylsulfonyl)imide
1-hexyl-3-methylimidazolium bis(perfluoroethylsulfonyl)imide
1-butyl-3-methyl-1H-imidazolium dimethylphosphate
1-ethyl-3-methylimidazolium trifluoromethanesulfonate
1-butyl-3-methylimidazolium  tetrafluoroborate
"N,N-diethyl-N-methyl-N-propylammonium bis(fluorosulfonyl)imide"
1-methyl-1-propylpyrrolidinium bis(fluorosulfonyl)amide
1-methyl-1-propylpiperidinium bis(fluorosulfonyl)imide
2-hydroxy-N-(2-hydroxyethyl)-N-methylethanaminium  chloride
 triisobutylmethylphosphonium  p-toluenesulfonate
3-(3-hydroxypropyl)-1-methyl-1H-imidazolium nitrate
"methyltrioctylammonium  1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
" 2-(acetyloxy)-N-ethyl-N,N-dimethylethanaminium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
"N-ethyl-2-(2-methoxyethoxy)-N,N-dimethylethanaminium bis(trifluoromethylsulfonyl)imide "
"N-ethyl-N,N-dimethylheptanaminium bis((trifluoromethyl)sulfonyl)amide"
1-butylpyridinium dicyanamide
1-(2-methoxyethyl)pyridinium thiocyanate
" 2,2-dihexyl-1,1,3,3-tetramethylguanidinium dicyanamide"
 butyldimethylammonium bis(trifluoromethylsulfonyl)amide
3-butyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide
" 2,2-dihexyl-1,1,3,3-tetramethylguanidinium tricyanomethanide"
